vertex_density	1.2177596768227756
edge_density	0.5940899645520107
graph_density	0.9452689425720708
barbers_modularity	0.031677983597255474
seconds	4363.954976081848
size	9.88888888888889
num	27
u0 u1 u10 u100 u102 u104 u105 u110 u12 u13 u15 u190 u194 u21 u22 u23 u233 u241 u259 u26 u27 u283 u287 u3 u30 u308 u311 u32 u331 u353 u36 u367 u37 u38 u39 u4 u40 u405 u406 u407 u408 u410 u411 u412 u414 u419 u42 u420 u425 u427 u433 u435 u436 u44 u442 u443 u452 u456 u457 u459 u460 u463 u464 u469 u47 u476 u481 u482 u485 u486 u489 u49 u493 u494 u497 u498 u5 u50 u53 u54 u55 u58 u61 u62 u66 u67 u72 u73 u75 u76 u77 u8 u80 u89 u90 u92 u94 u97 u98 v501 v502 v505 v506 v507 v509 v511 v513 v517 v521 v522 v524 v526 v533 v534 v536 v537 v539 v542 v543 v544 v545 v548 v549 v554 v555 v560 v562 v563 v565 v567 v571 v575 v579 v581 v585 v586 v589 v590 v591 v592 v593 v673 v682 v697 v715 v734 v750 v751 v759 v765 v775 v790 v792 v823 v832 v836 v837 v842 v858 v860 v875 v890 v891 v896 v897 v898 v900 v903 v905 v907 v911 v912 v914 v919 v924 v925 v926 v927 v929 v930 v932 v933 v937 v939 v940 v943 v944 v947 v953 v956 v965 v969 v972 v973 v975 v980 v981 v985 v990 v994 v995 v997 
u2 v655 
u28 v529 
u247 v540 
u9 v931 
u225 u33 u383 v530 
u299 u319 v512 
u382 v556 
u271 v574 
u18 u65 v729 v795 
u491 v670 v679 
u256 v557 
u421 v958 
u48 v707 v819 
u60 v643 
u139 v901 
u430 u444 v752 v773 
u458 v674 
u79 v766 
u467 v713 v767 
u91 v942 
u431 u474 v955 
u440 v744 
u449 v712 
u185 u344 v920 
u195 v957 
u432 u434 v921 
